Sample in Buffer,Sample in Window,TRIGGER,PS_PL_i/n3z_tonetest_0_userpicoaddress[10:0],PS_PL_i/Dout[7:0],u_ila_0_blk_mem_gen_0_douta_1[0:0],PS_PL_i/blk_mem_gen_0_douta[11:1],u_ila_0_blk_mem_gen_0_douta[17:12],Program address,Program Instruction,u_ila_0_axi_fifo_mm_s_0_axi_str_txd_tvalid,u_ila_0_axi_fifo_mm_s_1_axi_str_rxd_tready,PS_PL_i/axi_fifo_mm_s_1_axi_str_txd_tvalid,PS_PL_i/n3z_tonetest_0_pl2ps_tvalid,lopt
,,,,Data from fifo to PL,,,,,,Writing to BRAM (ie only at startup!),User to ARM fifo OK to receive data,ARM fifo to PL data write,User back to ARM fifo write,PL fifo not almost full
0,0,0,04d,0a,1,55,38,04d,380AB,0,1,0,0,1
1,1,0,04e,0a,1,55,38,04e,380AB,0,1,0,0,1
2,2,0,04e,0a,1,17f,20,04e,202FF,0,1,0,0,1
3,3,0,2ff,0a,1,17f,20,2ff,202FF,0,1,0,0,1
4,4,0,2ff,0a,0,83,9,2ff,9106,0,1,0,0,1
5,5,0,300,0a,0,83,9,300,9106,0,1,0,0,1
6,6,0,300,0a,0,308,0,300,610,0,1,0,0,1
7,7,0,301,0a,0,308,0,301,610,0,1,0,0,1
8,8,0,301,0a,0,0c0,1d,301,1D180,0,1,0,0,1
9,9,0,302,0a,0,0c0,1d,302,1D180,0,1,0,0,1
10,10,0,302,0a,1,18a,38,302,38315,0,1,0,0,1
11,11,0,303,0a,1,18a,38,303,38315,0,1,0,0,1
12,12,0,303,0a,0,0,25,303,25000,0,1,0,0,1
13,13,0,04f,0a,0,0,25,04f,25000,0,1,0,0,1
14,14,0,04f,0a,0,340,1d,04f,1D680,0,1,0,0,1
15,15,0,50,0a,0,340,1d,50,1D680,0,1,0,0,1
16,16,0,50,0a,1,05a,38,50,380B5,0,1,0,0,1
17,17,0,51,0a,1,05a,38,51,380B5,0,1,0,0,1
18,18,0,51,0a,0,9,0b,51,B012,0,1,0,0,1
19,19,0,52,0a,0,9,0b,52,B012,0,1,0,0,1
20,20,0,52,0a,1,0,3,52,3001,0,1,0,0,1
21,21,0,53,0a,1,0,3,53,3001,0,1,0,0,1
22,22,0,53,0a,1,0,1d,53,1D001,0,1,0,0,1
23,23,0,54,0a,1,0,1d,54,1D001,0,1,0,0,1
24,24,0,54,0a,1,160,30,54,302C1,0,1,0,0,1
25,25,0,55,0a,1,160,30,55,302C1,0,1,0,0,1
26,26,0,55,0a,0,16e,20,55,202DC,0,1,0,0,1
27,27,0,2dc,0a,0,16e,20,2dc,202DC,0,1,0,0,1
28,28,0,2dc,0a,1,37f,1,2dc,16FF,0,1,0,0,1
29,29,0,2dd,0a,1,37f,1,2dd,16FF,0,1,0,0,1
30,30,0,2dd,0a,0,1bd,20,2dd,2037A,0,1,0,0,1
31,31,0,37a,0a,0,1bd,20,37a,2037A,0,1,0,0,1
32,32,0,37a,0a,1,0,9,37a,9001,0,1,0,0,1
33,33,0,37b,0a,1,0,9,37b,9001,0,1,0,0,1
34,34,0,37b,0a,1,0,3,37b,3001,0,1,0,0,1
35,35,0,37c,0a,1,0,3,37c,3001,0,1,0,0,1
36,36,0,37c,0a,1,0,1d,37c,1D001,0,1,0,0,1
37,37,0,37d,0a,1,0,1d,37d,1D001,0,1,0,0,1
38,38,0,37d,0a,0,0,25,37d,25000,0,1,0,0,1
39,39,0,2de,0a,0,0,25,2de,25000,0,1,0,0,1
40,40,0,2de,0a,0,0,35,2de,35000,0,1,0,0,1
41,41,0,56,0a,0,0,35,56,35000,0,1,0,0,1
42,42,0,56,0a,1,37f,1d,56,1D6FF,0,1,0,0,1
43,43,0,57,0a,1,37f,1d,57,1D6FF,0,1,0,0,1
44,44,0,57,0a,0,21,32,57,32042,0,1,0,0,1
45,45,0,42,0a,0,21,32,42,32042,0,1,0,0,1
46,46,0,42,0a,1,37,20,42,2006F,0,1,0,0,1
47,47,0,06f,0a,1,37,20,06f,2006F,0,1,0,0,1
48,48,0,06f,0a,1,7,9,06f,900F,0,1,0,0,1
49,49,0,70,0a,1,7,9,70,900F,0,1,0,0,1
50,50,0,70,0a,1,08a,0b,70,B115,0,1,0,0,1
51,51,0,71,0a,1,08a,0b,71,B115,0,1,0,0,1
52,52,0,71,0a,0,8,1c,71,1C010,0,1,0,0,1
53,53,0,72,0a,0,8,1c,72,1C010,0,1,0,0,1
54,54,0,72,0a,0,0,31,72,31000,0,1,0,0,1
55,55,0,43,0a,0,0,31,43,31000,0,1,0,0,1
56,56,0,43,0a,0,9,0b,43,B012,0,1,0,0,1
57,57,0,44,0a,0,9,0b,44,B012,0,1,0,0,1
58,58,0,44,0a,0,2,3,44,3004,0,1,0,0,1
59,59,0,45,0a,0,2,3,45,3004,0,1,0,0,1
60,60,0,45,0a,0,2,1d,45,1D004,0,1,0,0,1
61,61,0,46,0a,0,2,1d,46,1D004,0,1,0,0,1
62,62,0,46,0a,0,0d7,32,46,321AE,0,1,0,0,1
63,63,0,47,0a,0,0d7,32,47,321AE,0,1,0,0,1
64,64,0,47,0a,0,9,0b,47,B012,0,1,0,0,1
65,65,0,48,0a,0,9,0b,48,B012,0,1,0,0,1
66,66,0,48,0a,0,4,3,48,3008,0,1,0,0,1
67,67,0,49,0a,0,4,3,49,3008,0,1,0,0,1
68,68,0,49,0a,0,4,1d,49,1D008,0,1,0,0,1
69,69,0,04a,0a,0,4,1d,04a,1D008,0,1,0,0,1
70,70,0,04a,0a,0,17b,30,04a,302F6,0,1,0,0,1
71,71,0,04b,0a,0,17b,30,04b,302F6,0,1,0,0,1
72,72,0,04b,0a,0,182,20,04b,20304,0,1,0,0,1
73,73,0,304,0a,0,182,20,304,20304,0,1,0,0,1
74,74,0,304,0a,1,83,9,304,9107,0,1,0,0,1
75,75,0,305,0a,1,83,9,305,9107,0,1,0,0,1
76,76,0,305,0a,0,308,0,305,610,0,1,0,0,1
77,77,0,306,0a,0,308,0,306,610,0,1,0,0,1
78,78,0,306,0a,0,0c0,1d,306,1D180,0,1,0,0,1
79,79,0,307,0a,0,0c0,1d,307,1D180,0,1,0,0,1
80,80,0,307,0a,1,18d,38,307,3831B,0,1,0,0,1
81,81,0,308,0a,1,18d,38,308,3831B,0,1,0,0,1
82,82,0,308,0a,0,0,25,308,25000,0,1,0,0,1
83,83,0,04c,0a,0,0,25,04c,25000,0,1,0,0,1
